x,y
3.925062786250375211e+03,7.004466631114482880e+02
3.585481195965548977e+02,8.567246871441602707e+02
4.458167254477739334e+02,1.350707318261265755e+02
1.137347223833203316e+02,9.247341272027188097e+02
1.342051693807484014e+02,1.026386660682037473e+02
3.533557566729042264e+03,1.482551111057400703e+03
3.099012803344445729e+03,4.392413655146956444e+02
1.871422832623589784e+03,1.907010625612562308e+03
9.012290386855602264e+01,3.917665842457061444e+03
2.253303131791937631e+03,6.271498678855027720e+02
3.934710689570754766e+03,1.417207994224481808e+03
1.613086791898123920e+03,3.820873124071396887e+03
1.026761688323037106e+03,7.817621881235545516e+02
5.679319173097610474e+01,2.263898392860822696e+03
2.898690072223013431e+03,1.488062245235304999e+03
6.332899153986945748e+02,3.488597484298050404e+03
2.708034907013177872e+03,1.166062835901975632e+02
1.606371468380093575e+02,3.495758855019587372e+03
6.045047039682208379e+02,2.759351696727370381e+03
3.553420613018256063e+03,9.486722869277000427e+02
3.950000000000000000e+03,2.430929434732433492e+03
3.930075518555166582e+03,7.451504780788673088e+01
1.952341695953160524e+03,7.486800006497169591e+01
3.723320932490751147e+03,2.727140252504692853e+03
3.823640626362117473e+03,3.264254477409180254e+03
2.801529674326302484e+03,3.887825322747921291e+03
1.064653549469259815e+03,2.507358614165852032e+03
1.314167510755360126e+03,1.023277977500110865e+02
5.837889646263520262e+02,3.839243213623063639e+03
1.715494467424552568e+03,3.014617681812494993e+03
3.712736821362480896e+03,2.029342932252382980e+03
1.199544600277963582e+02,2.691565250630024821e+03
1.539662113338708878e+02,1.755323390960693359e+03
2.795192858235052427e+03,3.237941925454395005e+03
3.170130126008070874e+03,5.330758235603570938e+01
1.701948923915624619e+03,1.456341497823596001e+02
3.252998709447318106e+03,3.844019422733388183e+03
2.035616018600761890e+03,3.897658627718687057e+03
2.390535718791677482e+03,3.907921117208898067e+03
5.454115085269947940e+02,1.648721406085857325e+03
3.248007369823641511e+03,2.648243794377893209e+03
8.510857073191937161e+02,2.506896956419587070e+02
2.564684512221148452e+03,1.881268737026016424e+03
3.717360076102017047e+03,1.456179784274281701e+02
1.314581012990717227e+03,1.788851841470052022e+03
3.786657417342066765e+03,3.554106549003336113e+03
1.024357173815369606e+03,3.803016978130622647e+03
3.782733756212631761e+03,3.940799155094308389e+03
2.984805033810436726e+03,1.038126548409357383e+03
1.779491427187575027e+03,2.411578538289552853e+03
