x,y
3.741987882338984946e+03,2.974709803862450599e+02
3.260795580222428725e+03,2.686747430199106475e+03
4.162970790894066795e+02,2.829077489723460985e+02
2.010115395481668884e+03,1.121564949560495734e+03
1.200171120247665755e+02,1.287763922151171755e+03
3.403749636458342593e+03,1.570357437947838207e+03
3.133689470687918856e+03,8.293438781023236288e+02
1.821057685314154469e+03,1.887385286874251278e+03
1.338414902013149913e+03,2.118457795374880334e+03
2.650404068768992147e+03,6.410003491697588061e+02
9.183230368984202414e+02,1.329281596548021525e+03
1.917198616981307623e+03,3.124607952721623406e+03
9.893390347870730466e+02,7.452840328383941824e+02
3.875666481806191541e+02,2.233711282103539816e+03
2.864907922157379289e+03,1.481639814951530980e+03
2.005232758174088303e+03,-3.532138515864483634e+04
2.313384017723848956e+03,3.085006575301255225e+02
2.700970190906531343e+02,3.555804867736495908e+03
5.853055899991313709e+02,2.782428502997416672e+03
3.532388148552734947e+03,9.132183447835624293e+02
3.932488623244880728e+03,2.423146763038240351e+03
3.995108522981374335e+03,1.357204227792085476e+03
2.998307197289006126e+03,7.512875319847947253e+01
2.672665914716447787e+03,2.722551599139421342e+03
3.755079426716548369e+03,2.880626117518987030e+03
2.164552298300619896e+03,2.272033857062962397e+03
1.045404839099094715e+03,2.496679239682340722e+03
1.175242451485936726e+03,3.373576374074857540e+03
1.387295169205641969e+03,1.231791650187614550e+03
2.221639015878941336e+03,2.800674945435295285e+03
3.736319373577715396e+03,1.972481444889686827e+03
2.894373145221311461e+03,2.257619790330534670e+03
8.323406206025820211e+02,2.018904889035082078e+03
2.753368922568691687e+03,3.216424624599250365e+03
2.339020736680184200e+03,1.455961796887329228e+03
1.654772833957945295e+03,3.617600661631637649e+03
3.158756141169126295e+03,3.682223295418988982e+03
4.175878627225390005e+02,7.241116731685445984e+02
2.380901469343325061e+03,3.729079734634502984e+03
5.267858919885582054e+02,1.645863039136240332e+03
3.290374974186412601e+03,3.205168841798530138e+03
8.786821321725832377e+02,2.004324936482816781e+02
2.538705328406384069e+03,1.855798506644034660e+03
1.409400244098246276e+03,3.108861662462506956e+02
1.290880218528597425e+03,1.662833139490261146e+03
1.560314956658416577e+03,7.458557531679009571e+02
1.069428166605179285e+03,3.837349834376992931e+03
3.800912178402354130e+03,4.033814883112701864e+03
2.533651148159852255e+03,1.044320305707567286e+03
1.766158971348856312e+03,2.589202319086772150e+03
