x,y
3.715854927013874658e+03,3.644735618281713982e+02
3.261052712642897859e+03,2.681980988050666383e+03
4.395717669723504741e+02,3.235556310771982567e+02
2.030822366929770624e+03,1.130849105017110105e+03
1.545620673650627452e+02,1.296974906934964793e+03
3.406172284282476085e+03,1.567946219588491203e+03
3.074979969090372833e+03,8.548821691427098131e+02
1.813318073051570991e+03,1.897764287272980255e+03
1.336113490858728710e+03,2.126849917521788029e+03
2.646236315337313044e+03,6.518937190941745712e+02
9.435594962591914054e+02,1.335745492030135438e+03
1.921548926141501397e+03,3.116199582533387456e+03
9.980504407343137245e+02,7.718809294187205978e+02
4.649904538720983851e+02,2.221494683809838534e+03
2.861918641663881317e+03,1.488737611740796638e+03
1.968929008561706041e+03,6.003340375838010914e+02
2.316590353704500103e+03,3.271368441870278048e+02
3.018399521360072981e+02,3.467336479127396160e+03
6.125433313700295912e+02,2.776121411081902352e+03
3.530714059482251287e+03,9.487355656873852467e+02
3.917505711848773444e+03,2.415565806599961888e+03
3.964185559237823782e+03,1.368861415911414724e+03
2.994599577566357311e+03,1.051776773834682217e+02
2.669092079352188648e+03,2.712957581570047296e+03
3.756340708434830503e+03,2.873184751311869150e+03
2.168363231573790927e+03,2.272480321652180919e+03
1.054359004314334925e+03,2.490827153526466191e+03
1.186715510237346052e+03,3.368995815654475336e+03
1.399665091781092542e+03,1.238357024678961125e+03
2.222815443226696516e+03,2.795207504101443192e+03
3.706553276002396160e+03,1.981357095903586469e+03
2.888507071349970829e+03,2.274375525233010194e+03
8.527514648437854703e+02,2.015399469078379752e+03
2.746559877150392822e+03,3.209063982872360612e+03
2.340529209445306606e+03,1.458561513541447539e+03
1.663447771905167656e+03,3.599706318839972027e+03
3.148070268774080432e+03,3.662832344746569561e+03
4.924399419290493825e+02,7.456851266192528556e+02
2.367288311313519898e+03,3.713597278782507146e+03
5.875296570275249906e+02,1.641296953875247027e+03
3.288559503259634766e+03,3.200293663760782238e+03
8.909173052985543109e+02,2.369342577146779263e+02
2.537075330838462378e+03,1.859060728435296141e+03
1.412632737379030914e+03,3.302598022519267147e+02
1.300155386209856488e+03,1.662664878949785816e+03
1.566799816769796962e+03,7.571166950554024879e+02
1.083351226308262540e+03,3.823521180925674798e+03
3.762714920423091826e+03,3.942842424704481346e+03
2.541571299717659258e+03,1.060430135750557383e+03
1.772628952594020575e+03,2.588381719237429024e+03
