x,y
3.696296014067375381e+03,3.713435310155301181e+02
3.264587066316160417e+03,2.686827466227115110e+03
4.792801204678042950e+02,3.266372756574697291e+02
2.031664065314969321e+03,1.132948819409242105e+03
1.659443000517410383e+02,1.287161496539471500e+03
3.403336059331661545e+03,1.501799020430059500e+03
3.072792005102824078e+03,8.553201007116799701e+02
1.819828705924865972e+03,1.897963995867462472e+03
1.337265075816661238e+03,2.128467303376196469e+03
2.650628373393516085e+03,6.528491415050568776e+02
9.498356958369553240e+02,1.340136563050336918e+03
1.922078304699676664e+03,3.118627142794041902e+03
1.004619248320583779e+03,7.728156939716868692e+02
4.766305649597774732e+02,2.220290280116008034e+03
2.863740760364601101e+03,1.491203159890341794e+03
1.970293106877352102e+03,6.018951434407828174e+02
2.319753270899675044e+03,3.319124369097282283e+02
2.987059277213779183e+02,3.469573969383302483e+03
6.108166084207437052e+02,2.781402767445915288e+03
3.528142577020199496e+03,9.507792271135966757e+02
3.922420396289642213e+03,2.392605152272858959e+03
3.936850885198221476e+03,1.374494380104923721e+03
2.993265287494853055e+03,1.085478357793986248e+02
2.663471114407468121e+03,2.717733769175875750e+03
3.755745409839074455e+03,2.877397125356267225e+03
2.171760596198258554e+03,2.267490105912511353e+03
1.053396407151112726e+03,2.490743836073207149e+03
1.187713911859883638e+03,3.370506885894289553e+03
1.406397371080232006e+03,1.242565539478389610e+03
2.223306984363921856e+03,2.796221309364287208e+03
3.705160785240998393e+03,1.984555012161036302e+03
2.893175899848023619e+03,2.278186530352067621e+03
8.540988465397171012e+02,2.017540467747403454e+03
2.739913693157440321e+03,3.211819431583424375e+03
2.349094913929658560e+03,1.458378662975321049e+03
1.665555461909924361e+03,3.595640669044261358e+03
3.152044845013492250e+03,3.826786191885743392e+03
5.048812381908476254e+02,7.464581183421717014e+02
2.370502672537875242e+03,3.715318578352530039e+03
5.963689472190566221e+02,1.644550058739509268e+03
3.278842370966563067e+03,3.203731651267778943e+03
8.925956496240937668e+02,2.989078277869617750e+02
2.540545306276738302e+03,1.937147657942205569e+03
1.414462672810428103e+03,3.397190954415704596e+02
1.311117513936979549e+03,1.666134680211313935e+03
1.596484377497863306e+03,8.108432635207263957e+02
1.083802482456714415e+03,3.825895976027954930e+03
3.763480889188718720e+03,3.942281315400297444e+03
2.541675947725274909e+03,1.066933281617674311e+03
1.779302650462443580e+03,2.582066529726956560e+03
