x,y
3.696359602256048220e+03,3.713499193195038970e+02
3.264593641777421453e+03,2.686786449961799917e+03
4.792883656285303573e+02,3.266428948699568764e+02
2.031692379115339236e+03,1.132964161640698421e+03
1.659471548278248747e+02,1.287183639860187668e+03
3.403394625806416116e+03,1.501773381755655464e+03
3.072801692426268801e+03,8.553348149704229400e+02
1.819853827342135446e+03,1.897970027150460737e+03
1.370181299822050050e+03,2.128434260483624712e+03
2.650819736453021505e+03,6.528603726116117514e+02
9.498520360681532111e+02,1.340159617712712134e+03
1.922057522176380189e+03,3.118557347768913587e+03
1.004635620563901284e+03,7.728258973921795132e+02
4.766387645396206381e+02,2.220328476255246642e+03
2.863790025923179201e+03,1.491200175113353225e+03
1.970291873338006553e+03,6.019054979745656055e+02
2.319741416411341561e+03,3.319181468719673944e+02
2.987110664247771865e+02,3.469620117717689936e+03
6.108271164324369238e+02,2.781450616525990881e+03
3.528148173808654974e+03,9.507955835765698112e+02
3.934745438283933254e+03,2.392646312782525456e+03
4.010604663283047557e+03,1.374518025832335752e+03
2.993316781292183350e+03,1.085497031515563009e+02
2.663432462659659905e+03,2.717736470980938066e+03
3.755810020748717761e+03,2.877334510604626303e+03
2.171703087622619023e+03,2.267464877968592191e+03
1.053414528959877316e+03,2.490786684884115857e+03
1.187734344362057982e+03,3.370516369301414670e+03
1.406393694245840379e+03,1.242564270804957232e+03
2.223275007279955389e+03,2.796260457354161645e+03
3.705061134858457535e+03,1.984550277636050396e+03
2.893216030864362438e+03,2.278217196150250857e+03
8.541135397889586329e+02,2.022303786408579981e+03
2.739960828491899520e+03,3.211865208982914737e+03
2.349135325923198252e+03,1.458403751782395148e+03
1.665517338601407118e+03,3.595563981946751483e+03
3.152099070330288669e+03,3.826852024925491150e+03
5.048899237732009624e+02,7.464682209079426229e+02
2.370543452813749809e+03,3.716421559439267185e+03
5.963792066844787314e+02,1.644557188716712972e+03
3.278786247103720598e+03,3.203745710310668073e+03
8.926110051422569995e+02,2.989129699636919213e+02
2.540589011833237691e+03,1.937134654619412686e+03
1.414487006121124068e+03,3.397239344799676815e+02
1.311140069378297767e+03,1.666163343090580838e+03
1.596450229619920265e+03,8.108547164315573355e+02
1.083821127347835727e+03,3.825887896970853035e+03
3.763545633173484930e+03,3.942349135327925978e+03
2.541717380785408750e+03,1.066951636304248041e+03
1.779333260195058983e+03,2.582110949582141075e+03
