x,y
3.698296014067375381e+03,3.693435310155301181e+02
3.264587066316160417e+03,2.687827466227115110e+03
4.762801204678042950e+02,3.226372756574697291e+02
2.029664065314969321e+03,1.127948819409242105e+03
1.619443000517410383e+02,1.287161496539471500e+03
3.404336059331661545e+03,1.497799020430059500e+03
3.073792005102824078e+03,8.543201007116799701e+02
1.820828705924865972e+03,1.899963995867462472e+03
1.338265075816661238e+03,2.130467303376196469e+03
2.649628373393516085e+03,6.520991415050568776e+02
9.498356958369553240e+02,1.339136563050336918e+03
1.922078304699676664e+03,3.121627142794041902e+03
1.000619248320583779e+03,7.718156939716868692e+02
4.736305649597774732e+02,2.220290280116008034e+03
2.870740760364601101e+03,1.492203159890341794e+03
1.973293106877352102e+03,5.988951434407828174e+02
2.320753270899675044e+03,3.279124369097282283e+02
2.977059277213779183e+02,3.470573969383302483e+03
6.058166084207437052e+02,2.784402767445915288e+03
3.532142577020199496e+03,9.487792271135966757e+02
3.924420396289642213e+03,2.394605152272858959e+03
3.938850885198221476e+03,1.374494380104923721e+03
2.994265287494853055e+03,1.035478357793986248e+02
2.661471114407468121e+03,2.718733769175875750e+03
3.759745409839074455e+03,2.880397125356267225e+03
2.168760596198258554e+03,2.268490105912511353e+03
1.054396407151112726e+03,2.495243836073207149e+03
1.184213911859883638e+03,3.374506885894289553e+03
1.406397371080232006e+03,1.239565539478389610e+03
2.225306984363921856e+03,2.800221309364287208e+03
3.706160785240998393e+03,1.982555012161036302e+03
2.894175899848023619e+03,2.277186530352067621e+03
8.540988465397171012e+02,2.018540467747403454e+03
2.741913693157440321e+03,3.213069431583424375e+03
2.349094913929658560e+03,1.459378662975321049e+03
1.664555461909924361e+03,3.597640669044261358e+03
3.150044845013492250e+03,3.830786191885743392e+03
5.008812381908476254e+02,7.444581183421717014e+02
2.370502672537875242e+03,3.722318578352530039e+03
5.943689472190566221e+02,1.643550058739509268e+03
3.278842370966563067e+03,3.203731651267778943e+03
8.915956496240937668e+02,2.929078277869617750e+02
2.543545306276738302e+03,1.935147657942205569e+03
1.418462672810428103e+03,3.307190954415704596e+02
1.304117513936979549e+03,1.666134680211313935e+03
1.593484377497863306e+03,8.078432635207263957e+02
1.083802482456714415e+03,3.827895976027954930e+03
3.764480889188718720e+03,3.944281315400297444e+03
2.542675947725274909e+03,1.066933281617674311e+03
1.780302650462443580e+03,2.583066529726956560e+03
