x,y
3.676735666943879551e+03,3.581484644614174613e+02
3.240472103759686433e+03,2.699736834260261276e+03
4.833813546555272751e+02,3.055763995693155266e+02
2.031462924395228129e+03,1.141874923376130027e+03
1.662859343914115868e+02,1.300196547050156369e+03
3.413210144503438642e+03,1.482877115206012604e+03
3.084468904313749590e+03,8.525094293812755950e+02
1.817166891685062637e+03,1.883694291232563501e+03
1.325397056735125261e+03,2.130954836428944873e+03
2.676556294522265489e+03,6.412691846451850779e+02
9.245692110414354374e+02,1.342582013421335887e+03
1.903818852231242545e+03,3.126140660054462387e+03
1.038041852633430608e+03,7.763261594795139899e+02
4.708644644445822678e+02,2.238656660951458434e+03
2.865591001257518656e+03,1.493061611315635218e+03
1.973701210942380385e+03,5.911346623590422951e+02
2.312605483475024812e+03,3.403252556479667419e+02
3.084289202068708846e+02,3.486176410869105894e+03
6.041609026996031844e+02,2.778754660937852350e+03
3.552578735202456301e+03,9.390571510725199005e+02
3.936667228753299241e+03,2.412080371736036795e+03
3.938199346914766465e+03,1.381785113292859023e+03
2.990386554378186702e+03,7.995158409469470939e+01
2.663600487692976458e+03,2.719322441308574525e+03
3.764005102004633954e+03,2.907575413552664941e+03
2.169578344891091547e+03,2.288411941828437193e+03
1.065840316098109724e+03,2.502508488012333146e+03
1.170713280811795812e+03,3.378174954025484112e+03
1.435446496876144010e+03,1.251764420611938021e+03
2.220942668223485271e+03,2.798584030584689572e+03
3.704594968474052621e+03,1.996215009090837611e+03
2.896297651052779656e+03,2.265410812746278680e+03
8.317905548598896530e+02,2.053110592641715812e+03
2.763007735092110124e+03,3.225591316857143283e+03
2.345981012276985894e+03,1.438807722991010451e+03
1.632865699356825189e+03,3.606338039799697071e+03
3.150204664794146083e+03,3.839113622766019034e+03
4.835920904021276101e+02,7.598845118631491005e+02
2.382083754165138089e+03,3.707352859387252465e+03
5.785562565137649926e+02,1.631826184878040749e+03
3.250772475429802398e+03,3.221893489024005248e+03
8.850222835466963716e+02,2.901170743077947236e+02
2.523070238426450487e+03,1.916246964196053341e+03
1.420879537464925761e+03,3.387090331471508762e+02
1.324496528597739143e+03,1.670188635386313763e+03
1.590433217143844558e+03,8.142281162474391749e+02
1.062363003509308328e+03,3.811674499489006848e+03
3.787169909538124557e+03,3.949221876219500700e+03
2.552996579027251755e+03,1.055353491820250383e+03
1.794602571868547784e+03,2.593321134810496915e+03
